============================================================
当前配置
============================================================
环境: CartPole-v1
种群大小: 50
训练代数: 100
变异率: 0.15
交叉率: 0.8
精英比例: 0.1
神经网络结构: 输入 → 16 → 16 → 输出
每集最大步数: 500
============================================================

开始时间: 2025-11-28 20:13:58
视频保存频率: 每 999999 代

初始化环境...
✓ 成功加载 CartPole-v1
观察空间: 4维, 动作空间: 2维 (离散)

网络参数数量: 386

使用标准遗传算法（固定高变异率：0.15）
============================================================
开始训练（无实时渲染，速度更快）
============================================================


[Gen 1/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... NEW RECORD! Best: 11.00, Mean: 9.42, Std: 0.75 | Recording video... /opt/anaconda3/envs/ga-humanoid/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
OK (terrain seed=819030, reward: 11.0, steps: 11) | Time: 1.4s
[Gen 46/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 500.00, Mean: 232.26, Std: 209.98 | Time: 0.1s

[Gen 47/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 500.00, Mean: 232.60, Std: 199.35 | Time: 0.1s

[Gen 48/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 500.00, Mean: 267.60, Std: 204.87 | Time: 0.2s

[Gen 49/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 500.00, Mean: 211.94, Std: 206.70 | Time: 0.1s

[Gen 50/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 500.00, Mean: 192.52, Std: 202.15 | Saving checkpoint... 模型已保存到 best_model_gen50.npy
Done | Time: 0.1s

[Gen 51/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 500.00, Mean: 217.82, Std: 210.07 | Time: 0.1s

[Gen 52/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 500.00, Mean: 265.52, Std: 215.77 | Time: 0.2s

[Gen 53/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 500.00, Mean: 221.84, Std: 206.93 | Time: 0.1s

[Gen 54/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 500.00, Mean: 242.82, Std: 200.35 | Time: 0.1s

[Gen 55/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 500.00, Mean: 254.68, Std: 210.74 | Time: 0.2s

[Gen 56/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 500.00, Mean: 190.94, Std: 197.51 | Time: 0.1s

[Gen 57/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 500.00, Mean: 216.78, Std: 205.83 | Time: 0.1s

[Gen 58/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 500.00, Mean: 248.98, Std: 208.02 | Time: 0.1s

