============================================================
当前配置
============================================================
环境: BipedalWalker-v3
种群大小: 50
训练代数: 100
变异率: 0.2
交叉率: 0.7
精英比例: 0.04
神经网络结构: 输入 → 16 → 16 → 输出
每集最大步数: 500
============================================================

开始时间: 2025-11-28 19:10:03
视频保存频率: 每 999999 代

初始化环境...
/opt/anaconda3/envs/ga-humanoid/lib/python3.10/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
✓ 成功加载 BipedalWalker-v3
观察空间: 24维, 动作空间: 4维

网络参数数量: 740

使用标准遗传算法（固定高变异率：0.2）
============================================================
开始训练（无实时渲染，速度更快）
============================================================


[Gen 82/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 2.81, Mean: -77.75, Std: 39.50 | Time: 2.0s

[Gen 83/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 2.99, Mean: -84.27, Std: 38.69 | Time: 1.9s

[Gen 84/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 2.45, Mean: -84.39, Std: 35.06 | Time: 1.6s

[Gen 85/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 2.48, Mean: -92.62, Std: 35.07 | Time: 1.4s

[Gen 86/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 2.68, Mean: -85.18, Std: 34.70 | Time: 1.7s

[Gen 87/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 2.74, Mean: -76.57, Std: 40.09 | Time: 2.0s

[Gen 88/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 3.15, Mean: -76.22, Std: 39.03 | Time: 2.0s

[Gen 89/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 2.77, Mean: -76.61, Std: 37.79 | Time: 2.0s

[Gen 90/100] Eval: 10/50... Eval: 20/50... Eval: 30/50... Eval: 40/50... Eval: 50/50... Best: 2.75, Mean: -79.05, Std: 38.65 | Time: 1.8s
